PO,"Item
 Description",Quantity, Unit Cost ,Vendor," Cost before
Tariff ","Country 
of Origin","Import 
Date","Tariff
Rate
Applied (%)"," Tariff 
Amt Paid "," Total 
Payment ", Refund Claimed ,Invoice ID,"Goods
Payment
Channel","Tariff
Payment
Channel",Notes
43271C55,Hammond NWC Series NEMA 12 Swing-Out Wall-Mount Cabinet,890, $71.00 ,Verisize," $152,190.00 ",Libya,2025-12-14,30," $45,657.00 "," $197,847.00 "," $45,657.00 ",106772,Wire Transfer,ACH - CBP/ACE ,Tier 3 (30%)- Sanctions/instability; likely above baseline but below most-hostile tier.
47844C80,Lighted Unmetered 50/30/20 Pedestal By Heritage H75P-3L,1164, $741.00 ,LACNE," $862,524.00 ",China,2025-12-15,41," $498,625.12 "," $1,216,158.84 "," $498,625.12 ",106773,Wire Transfer,Monthly Statement ,Tier 4 (41%)    Major target of Section 301 + reciprocal focus; likely highest tier post‑Nov 2025.
42844V1P,Square D QO 100 Amp 20-Space 20-Circuit Main Breaker Indoor Load Center,916, $788.00 ,Intelligence Systems," $721,808.00 ",Guatemala,2025-12-15,20," $144,361.60 "," $866,169.60 "," $144,361.60 ",106774,Check,Single Entry Bond,"Tier 1 (10%)    Small partner, no major disputes; likely baseline reciprocal rate."
47844C7F,Hoffman Concept Series NEMA 4 Wall-Mount Steel Enclosure (24x20x8),583, $534.00 ,Colot," $311,322.00 ",China,2025-12-15,41," $127,642.02 "," $438,964.02 "," $127,642.02 ",106775,ACH,Monthly Statement ,Tier 4 (41%)    Major target of Section 301 + reciprocal focus; likely highest tier post‑Nov 2025.
453F27M9,Eaton Cutler-Hammer 200A 3-Pole 600V Non-Fused Safety Switch,258, $384.00 ,CTX," $99,072.00 ",Italy,2025-12-15,10," $9,907.20 "," $108,979.20 "," $9,907.20 ",106776,Check,ACH - CBP/ACE ,"Tier 1 (10%)    EU/NATO ally; higher sectoral 232 possible, but reciprocal tier likely low."
453D27A3,GE 50kVA General Purpose Dry Type Transformer 480V to 208Y/120V,1113, $249.00 ,Steps IT Training," $277,137.00 ",Canada,2025-12-15,10," $27,713.70 "," $304,850.70 "," $27,713.70 ",106777,Check,Monthly Statement,"Tier 1 (10%)    USMCA partner; subject to sectoral/border measures, but low reciprocal tier."
453F27K3,Hubbell Wiring Device-Kellems 100A 3-Phase 480V Watertight Pin & Sleeve Inlet,1292, $618.00 ,StepAhead," $798,456.00 ",Germany,2025-12-15,10," $79,845.60 "," $878,301.60 "," $79,845.60 ",106778,Wire Transfer,ACH - CBP/ACE ,Tier 1 (10%)    EU ally; similar logic to Italy.
47804C92,Allen-Bradley Stratix 2000 Unmanaged Industrial Ethernet Switch (8-Port),1508, $855.00 ,Duet," $1,289,340.00 ",Canada,2025-12-16,10," $128,934.00 "," $1,418,274.00 "," $128,934.00 ",106779,Check,Monthly Statement,"Tier 1 (10%)    USMCA partner; subject to sectoral/border measures, but low reciprocal tier."
47394C7D,Leviton 50 Amp 125/250V 3-Pole 4-Wire Grounding Power Inlet Box,1156, $200.00 ,Axell Group," $231,200.00 ",Brazil,2025-12-16,10," $23,120.00 "," $254,320.00 "," $23,120.00 ",106780,Check,Monthly Statement,Tier 1 (10%)    Sample table shows 10% reciprocal for Brazil. 
453D27A2,Siemens Sirius 3RT 3-Pole IEC Contactor with 120V AC Coil,1444, $461.00 ,ByteSize," $665,684.00 ",India,2025-12-16,20," $143,122.06 "," $808,806.06 "," $143,122.06 ",106781,Wire Transfer,Monthly Statement,Tier 2 (20%)    Strategic but with recurring trade frictions; plausibly above baseline.
47804C92,APC Smart-UPS 750VA LCD 120V Network Card Compatible,211, $262.00 ,Data Pro Sys," $55,282.00 ",Canada,2025-12-16,10," $5,528.20 "," $60,810.20 "," $5,528.20 ",106782,Check,Monthly Statement,"Tier 1 (10%)    USMCA partner; subject to sectoral/border measures, but low reciprocal tier."
42601C35,Appleton Powermaster 60A 3-Pole 4-Wire Pin & Sleeve Receptacle,644, $200.00 ,PicSure," $128,800.00 ",Germany,2025-12-16,10," $12,880.00 "," $141,680.00 "," $12,880.00 ",106783,Wire Transfer,ACH - CBP/ACE ,Tier 1 (10%)    EU ally; similar logic to Italy.
452N27A1,Hammond Manufacturing 1589 Series Heavy Duty Power Strip (24 Outlet),635, $870.00 ,TQ Processes," $552,450.00 ",Peru,2025-12-16,10," $55,245.00 "," $607,695.00 "," $55,245.00 ",106784,Check,ACH - CBP/ACE ,Tier 1 (10%)    FTA partner; likely baseline.
47843C8F,Schneider Electric Altivar 312 Variable Speed Drive 2HP 240V,53, $413.00 ,," $21,889.00 ",China,2025-12-16,41," $8,974.49 "," $30,863.49 "," $8,974.49 ",106785,Corporate Card,Monthly Statement ,Tier 4 (41%)    Major target of Section 301 + reciprocal focus; likely highest tier post‑Nov 2025.
42A5A709,Cooper B-Line 4-Shelf 19-Inch Rack Mount Open Frame Server Cabinet,560, $453.00 ,Cyber Data Processing," $253,680.00 ",Chile,2025-12-16,10," $25,368.00 "," $279,048.00 "," $25,368.00 ",106786,EFT,Single Entry Bond,Tier 1 (10%)    FTA partner; likely baseline.
4C4EDFFE,Panduit Pan-Term Manual Hydraulic Crimp Tool for Large Gauge Lugs,902, $653.00 ,TQ Processes," $589,006.00 ",China,2025-12-17,41," $241,492.46 "," $830,498.46 "," $241,492.46 ",106787,ACH,Monthly Statement ,Tier 4 (41%)    Major target of Section 301 + reciprocal focus; likely highest tier post‑Nov 2025.
49B7852A,Wiegmann NEMA 3R Rainproof Hinged Cover Enclosure (30x24x12),948, $607.00 ,CTX," $575,436.00 ",India,2025-12-17,20," $115,087.20 "," $690,523.20 "," $115,087.20 ",106788,Wire Transfer,Monthly Statement,Tier 2 (20%)    Strategic but with recurring trade frictions; plausibly above baseline.
426772G8,Milwaukee M18 Force Logic 6T Knockout Tool Kit,1329, $224.00 ,HeatProof," $297,696.00 ",Sudan,2025-12-17,30," $89,308.80 "," $387,004.80 "," $89,308.80 ",106789,Check,Single Entry Bond,Tier 3 (30%)    Sanctions/instability; likely elevated tier.
43671P28,Ideal Industries SureTest Circuit Analyzer with AFCI/GFCI Testing,189, $838.00 ,Collings University," $158,382.00 ",Namibia,2025-12-17,20," $31,676.40 "," $190,058.40 "," $31,676.40 ",106790,Wire Transfer,ACH - CBP/ACE ,"Tier 2 (20%)    Non‑FTA, no major dispute; moderate tier."
47844C80,Southwire 250-ft 6/3 Stranded Romex SIMpull CU NM-B Cable,246, $801.00 ,CTX," $197,046.00 ",China,2025-12-17,41," $80,788.86 "," $277,834.86 "," $80,788.86 ",106791,Wire Transfer,Monthly Statement ,Tier 4 (41%)    Major target of Section 301 + reciprocal focus; likely highest tier post‑Nov 2025.
